+-----------+--------------------------+--------------------------+----------+-----------+---------+---------------------+---------------------+------------+---------+---------+---------+----------+----------+----------+----------+----------+----------+----------+----------+--------+--------+-------+------+------+------+
| serial_no | kintex_a_id              | kintex_b_id              | batch_id | db_status | burn_in | burn_in_start       | burn_in_stop        | burn_in_op | kin_lot | pro_lot | gbt_lot | ina_lot  | ltm_lot  | mos_lot  | op4_lot  | ok4_lot  | ok1_lot  | mem_lot  | sfp_lot  | e_test | p_test | a0    | a1   | b0   | b1   |
|   1101046 | 40020001017166292D30C2C5 | 40020001017166292D30C345 |        4 |         0 |       0 | NULL                | NULL                | NULL       | 2345    | D2548   | GBTX01  | 2434     | 2525     | 2137     | F5       | 2510     | 2437     | 2512     | FXP96S   |      1 |      1 | 0040  | 0041 | 0042 | 0043 |
|   1101047 | 40020001017166292D30E485 | 40020001017166292D30E4C5 |        4 |         0 |       0 | NULL                | NULL                | NULL       | 2345    | D2548   | GBTX01  | 2434     | 2525     | 2137     | F5       | 2510     | 2437     | 2512     | FXP96S   |      1 |      1 | 0036  | 0037 | 0038 | 0039 |
|   1101048 | 40020001017166292D30E1C5 | 40020001017166292D30E105 |        4 |         0 |       0 | NULL                | NULL                | NULL       | 2345    | D2548   | GBTX01  | 2434     | 2525     | 2137     | F5       | 2510     | 2437     | 2512     | FXP96S   |      1 |      1 | 0309  | 0310 | 0352 | 0353 |
|   1101049 | 40020001017166292CE0C045 | 40020001017166292CE0A105 |        4 |         0 |       0 | NULL                | NULL                | NULL       | 2345    | D2548   | GBTX01  | 2434     | 2525     | 2137     | F5       | 2510     | 2437     | 2512     | FXP96S   |      1 |      1 | 0486  | 0487 | 0488 | 0489 |
|   1101050 | 40020001017166292D30C3C5 | 40020001017166292D30E245 |        4 |         0 |       0 | NULL                | NULL                | NULL       | 2345    | D2548   | GBTX01  | 2434     | 2525     | 2137     | F5       | 2510     | 2437     | 2512     | FXP96S   |      1 |      1 | 0311  | 0312 | 0313 | 0289 |
|   1101051 | 40020001017166292CA180C5 | 40020001017166292C2164C5 |        4 |         1 |       0 | NULL                | NULL                | NULL       | 2345    | D2548   | GBTX01  | 2434     | 2525     | 2137     | F5       | 2510     | 2437     | 2512     | FXP96S   |      1 |      1 | 0348  | 0349 | 0350 | 0351 |
|   1101052 | 40020001017166292D30E5C5 | 40020001017166292D30C205 |        4 |         1 |       0 | NULL                | NULL                | NULL       | 2345    | D2548   | GBTX01  | 2434     | 2525     | 2137     | F5       | 2510     | 2437     | 2512     | FXP96S   |      1 |      1 | 0089  | 0090 | 0034 | 0035 |
|   1101053 | 40020001017166292D30E2C5 | 40020001017166292D30E345 |        4 |         0 |       0 | NULL                | NULL                | NULL       | 2345    | D2548   | GBTX01  | 2434     | 2525     | 2137     | F5       | 2510     | 2437     | 2512     | FXP96S   |      1 |      1 | 0340  | 0341 | 0342 | 0343 |
|   1101054 | 40020001017166292CE1A485 | 40020001017166292D312185 |        4 |         0 |       0 | NULL                | NULL                | NULL       | 2345    | D2548   | GBTX01  | 2434     | 2525     | 2137     | F5       | 2510     | 2437     | 2512     | FXP96S   |      1 |      1 | 0454  | 0455 | 0456 | 0457 |
|   1101055 | 40020001017166292D0144C5 | 40020001017166292CA124C5 |        4 |         1 |       1 | 2026-04-17 18:00:00 | 2026-04-23 13:20:00 | CC+DD      | 2345    | D2548   | GBTX01  | 2434     | 2525     | 2137     | F5       | 2510     | 2437     | 2512     | FXP96S   |      1 |      1 | 0360  | 0361 | 0362 | 0363 |
